z_m,r_m,uz_m_s,ur_m_s,speed_m_s,p_gauge_pa,vorticity_s_1,lower_envelope,lower_gas,upper_envelope,upper_gas
-0.021457030067792267,0.0017000000000000001,0.0061770799139466877,-0.0069703588673097807,0.0093135502898930925,-0.66852835643678077,-0.10770188750939379,0,0,0,0
-0.021457030067792267,0.00172,0.0060366101512674885,-0.0069496968110258186,0.0092053760316223969,-0.67590236759144773,-0.11133855745256806,0,0,0,0
-0.021457030067792267,0.00174,0.0059214782771577421,-0.0069096982611831148,0.0090998810457855964,-0.68020656341505514,-0.11065255015510224,0,0,0,0
-0.021457030067792267,0.0017600000000000001,0.0058063464030479956,-0.0068696997113404119,0.0089948003133020656,-0.68451075923860571,-0.10996654285763643,0,0,0,0
-0.021457030067792267,0.0017800000000000001,0.0056912145289382491,-0.0068297011614977072,0.0088901485234927861,-0.68881495506221313,-0.1092805355601706,0,0,0,0
-0.021457030067792267,0.0018000000000000002,0.0055760826548285035,-0.0067897026116550043,0.0087859410041380356,-0.6931191508857637,-0.10859452826270481,0,0,0,0
-0.021457030067792267,0.0018200000000000002,0.005460950780718757,-0.0067497040618123005,0.0086821937522424744,-0.69742334670937112,-0.10790852096523898,0,0,0,0
-0.021457030067792267,0.0018400000000000001,0.0053458189066090123,-0.0067097055119695976,0.0085789234662405969,-0.70172754253295011,-0.10722251366777319,0,0,0,0
-0.021457030067792267,0.0018600000000000001,0.0052306870324992667,-0.0066697069621268939,0.008476147579685003,-0.70603173835650068,-0.10653650637030737,0,0,0,0
-0.021457030067792267,0.0018800000000000002,0.0051155551583895193,-0.0066297084122841892,0.0083738842964562969,-0.71033593418007968,-0.10585049907284155,0,0,0,0
-0.021457030067792267,0.0019000000000000002,0.0050004232842797737,-0.0065897098624414872,0.0082721526275284542,-0.71464013000365867,-0.10516449177537576,0,0,0,0
-0.021457030067792267,0.0019200000000000003,0.0048852914101700281,-0.0065497113125987825,0.0081709724293174274,-0.71894432582726608,-0.10447848447790993,0,0,0,0
-0.021457030067792267,0.0019399999999999999,0.0047701595360602842,-0.0065097127627560805,0.0080703644436330296,-0.72324852165081666,-0.10379247718044414,0,0,0,0
-0.021457030067792267,0.0019599999999999999,0.0046550276619505377,-0.0064697142129133767,0.0079703503392446959,-0.72755271747439565,-0.10310646988297834,0,0,0,0
-0.021457030067792267,0.00198,0.0045398957878407913,-0.0064297156630706729,0.0078709527550602735,-0.73185691329800306,-0.10242046258551252,0,0,0,0
-0.021457030067792267,0.002,0.0044247639137310456,-0.00638971711322797,0.0077721953449031937,-0.73616110912155364,-0.1017344552880467,0,0,0,0
-0.021457030067792267,0.0020200000000000001,0.0043096320396212992,-0.0063497185633852662,0.0076741028238569943,-0.74046530494516105,-0.10104844799058089,0,0,0,0
-0.021457030067792267,0.0020400000000000001,0.0042067524669163166,-0.0063055169391225468,0.0075799940756881784,-0.74400379005643913,-0.098757657876635804,0,0,0,0
-0.021457030067792267,0.0020599999999999998,0.0041196258531603202,-0.0062559113620340931,0.0074905102723148414,-0.74655778996614686,-0.094403575570074644,0,0,0,0
-0.021457030067792267,0.0020799999999999998,0.0040324992394043194,-0.0062063057849456376,0.007401302696961265,-0.74911178987596827,-0.090049493263513344,0,0,0,0
-0.021457030067792267,0.0020999999999999999,0.0039453726256483204,-0.006156700207857183,0.0073123814591857699,-0.751665789785676,-0.085695410956952087,0,0,0,0
-0.021457030067792267,0.0021199999999999999,0.0038582460118923205,-0.0061070946307687276,0.0072237571330608296,-0.75421978969544057,-0.081341328650390815,0,0,0,0
-0.021457030067792267,0.00214,0.0037711193981363215,-0.0060574890536802739,0.0071354407817917163,-0.75677378960517672,-0.076987246343829543,0,0,0,0
-0.021457030067792267,0.00216,0.0036839927843803212,-0.0060078834765918184,0.0070474439837200035,-0.75932778951494129,-0.072633164037268272,0,0,0,0
-0.021457030067792267,0.0021800000000000001,0.0035968661706243222,-0.0059582778995033638,0.006959778859783685,-0.76188178942470586,-0.068279081730707,0,0,0,0
-0.021457030067792267,0.0022000000000000001,0.0035097395568683219,-0.0059086723224149092,0.0068724581025073001,-0.76443578933447043,-0.063924999424145701,0,0,0,0
-0.021457030067792267,0.0022200000000000002,0.003422612943112322,-0.0058590667453264538,0.006785495006596815,-0.766989789244235,-0.059570917117584415,0,0,0,0
-0.021457030067792267,0.0022400000000000002,0.0033354863293563225,-0.0058094611682379992,0.006698903501214817,-0.76954378915397115,-0.055216834811023151,0,0,0,0
-0.021457030067792267,0.0022600000000000003,0.0032483597156003231,-0.0057598555911495437,0.0066126981840117028,-0.7720977890637073,-0.050862752504461872,0,0,0,0
-0.021457030067792267,0.0022800000000000003,0.0031612331018443232,-0.0057102500140610891,0.006526894356987935,-0.77465178897350029,-0.046508670197900601,0,0,0,0
-0.021457030067792267,0.0023000000000000004,0.0030741064880883237,-0.0056606444369726346,0.0064415080642607255,-0.77720578888323644,-0.042154587891339329,0,0,0,0
-0.021457030067792267,0.00232,0.0029869798743323264,-0.0056110388598841808,0.0063565561318057063,-0.77975978879297259,-0.037800505584778155,0,0,0,0
-0.021457030067792267,0.0023400000000000001,0.0028998532605763266,-0.0055614332827957254,0.0062720562092397729,-0.78231378870276558,-0.033446423278216883,0,0,0,0
-0.021457030067792267,0.0023599999999999997,0.0028292727994080223,-0.0055113307482099871,0.0061951231779226925,-0.78292058220506533,-0.035211220717630519,0,0,0,0
-0.021457030067792267,0.0023799999999999997,0.0027625106811445688,-0.0054611135311248751,0.0061200675047970695,-0.78307802038261798,-0.038388067329192227,0,0,0,0
-0.021457030067792267,0.0023999999999999998,0.0026957485628811154,-0.0054108963140397622,0.0060452344235409671,-0.78323545856017063,-0.041564913940753935,0,0,0,0
-0.021457030067792267,0.0024199999999999998,0.0026289864446176615,-0.0053606790969546493,0.0059706323037438782,-0.78339289673766643,-0.044741760552315636,0,0,0,0
-0.021457030067792267,0.0024399999999999999,0.0025622243263542085,-0.0053104618798695364,0.0058962699120807529,-0.78355033491521908,-0.047918607163877344,0,0,0,0
