t,i,dt,state_status,state_valid,active,handed_off,reacquired,activation_count,update_count,handoff_time,handoff_raw_valid_area,handoff_raw_crossed_bins,handoff_corridor_at_maxlevel,observation_status,observation_valid,virtual_kinematics,raw_available,raw_valid_area,raw_crossed,raw_unresolved,min_state_gap,min_raw_gap,max_state_raw_gap_discrepancy,film_dt_limit,inventory_before,inventory_after,expected_inventory_after,inventory_residual,edge_flux,reynolds_flux_residual,reynolds_continuity_residual,reynolds_pressure_residual,traction_valid,traction_active,traction_applied,requested_lower_force,requested_upper_force,requested_net_force,actual_lower_force,actual_upper_force,actual_net_force,lower_force_residual,upper_force_residual,net_force_residual,force_audit_tolerance,application_roundoff_faces,swamped_increment_faces,maximum_application_error,application_force_error_l1,missing_lower_support_bins,missing_upper_support_bins,identity_audit_failed,force_audit_failed,force_audit_nonfinite,actual_net_moment,moment_audit_tolerance,radial_first_moment_imbalance,radial_first_moment_tolerance,max_bin_force_imbalance,step_work,cumulative_work,positive_film_work,contact_corridor_at_maxlevel,restart_restored,restart_state_time,restart_continuity_error
0.000439999999999924,1776,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0004499999999999231,1816,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0004599999999999224,1856,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0004699999999999215,1896,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0004799999999999206,1936,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0004899999999999201,1976,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0004999999999999215,2016,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0005099999999999227,2056,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0005199999999999242,2096,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0005299999999999254,2136,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0005399999999999267,2176,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.000549999999999928,2216,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0005599999999999294,2256,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
0.0005699999999999308,2296,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
