t,i,bin,active,activation_count,update_count,reacquisition_count,unresolved_count,raw_crossing_count,source_time,handoff_inventory,inventory,cumulative_edge_outflow,cumulative_work,thickness,midpoint,radius,width,delta,face_flux_inner,face_flux_outer
0.020299999999999343,81221,22,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,6.312533972313327e-05,-0.015567733069662387,0.0003515625,1.5625e-05,1.953125e-05,-2.4279975819703014e-10,-2.8296805500281037e-10
0.020299999999999343,81221,23,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,6.524969904327961e-05,-0.015570072405142722,0.0003671875,1.5625e-05,1.953125e-05,-2.8296805500281037e-10,-3.3273572754669856e-10
0.020299999999999343,81221,24,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,6.682067702302587e-05,-0.015572094742179538,0.0003828125,1.5625e-05,1.953125e-05,-3.3273572754669856e-10,-3.902800352817675e-10
0.020299999999999343,81221,25,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,6.848676668003972e-05,-0.015574026742953941,0.0003984375,1.5625e-05,1.953125e-05,-3.902800352817675e-10,-4.523395854814725e-10
0.020299999999999343,81221,26,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,7.025931461807544e-05,-0.01557580878441709,0.0004140625,1.5625e-05,1.953125e-05,-4.523395854814725e-10,-5.14873645887152e-10
0.020299999999999343,81221,27,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,7.199636327904502e-05,-0.015577514129101248,0.0004296875,1.5625e-05,1.953125e-05,-5.14873645887152e-10,-5.758318466487904e-10
0.020299999999999343,81221,28,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,7.402211865202038e-05,-0.01557908789905527,0.0004453125,1.5625e-05,1.953125e-05,-5.758318466487904e-10,-6.463132617672503e-10
0.020299999999999343,81221,29,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,7.635904572617953e-05,-0.01558054304463797,0.0004609375,1.5625e-05,1.953125e-05,-6.463132617672503e-10,-7.381952132781009e-10
0.020299999999999343,81221,30,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,7.866544881620125e-05,-0.015582044614349932,0.0004765625,1.5625e-05,1.953125e-05,-7.381952132781009e-10,-8.367672952080665e-10
0.020299999999999343,81221,31,1,1,50856,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2415917180188546e-11,4.19656961195077e-11,-4.805073311648138e-12,8.113809168433918e-05,-0.015583488520602588,0.0004921875,1.5625e-05,1.953125e-05,-8.367672952080665e-10,-9.306326367937164e-10
